df	dm	muf	mum	nfa	nfb	nma	nmb	u	m	sexes	patch_type	fec_or_mor	critical_b	c	r_ff	r_mf	r_fm	r_mm	age
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000255219064533962	1e-05	0.158557026356136	0.0445889930328524	0.0820078593276816	0.0174028589383461	14
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000247531159494664	1e-05	0.158146189023826	0.0428556581948561	0.0847475991235410	0.0175932540554457	15
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000240642153697716	1e-05	0.157702060236344	0.0412825318074118	0.0873351120970032	0.0177860944532805	16
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000234442164909051	1e-05	0.157232420494234	0.0398543785587042	0.0897792194647830	0.0179800059333901	17
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000228840443823478	1e-05	0.156744005834385	0.0385574396539353	0.0920881969109809	0.0181738111152293	18
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000223761378917800	1e-05	0.156242628221256	0.0373792879774197	0.0942698114424921	0.0183665066312256	19
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000219141462627491	1e-05	0.155733282944666	0.0363086975700664	0.0963313554894274	0.0185572427665474	20
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000214926959377577	1e-05	0.155220244380635	0.0353355260007837	0.0982796784771167	0.0187453052904748	21
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000211072093064143	1e-05	0.154707151332640	0.0344506083518940	0.100121216076181	0.0189300992520348	22
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000207537623819670	1e-05	0.154197083045749	0.0336456616660646	0.101862017318947	0.0191111345357227	23
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000204289719884289	1e-05	0.153692626873792	0.0329131988169789	0.103507769753964	0.0192880129939583	24
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000201299055573757	1e-05	0.153195938478894	0.0322464508692482	0.105063822795382	0.0194604169916475	25
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000198540084181256	1e-05	0.152708795352080	0.0316392970860426	0.106535209410375	0.0196280992150470	26
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000195990447466888	1e-05	0.152232644362291	0.0310862018266300	0.107926666275394	0.0197908736122581	27
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000193630492703193	1e-05	0.151768643968038	0.0305821576513745	0.109242652520869	0.0199486073462701	28
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000191442875089084	1e-05	0.151317701660298	0.0301226340196012	0.110487367173733	0.0201012136536932	29
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000189412228425538	1e-05	0.150880507146301	0.0297035310268235	0.111664765397908	0.0202486455133031	30
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000307550954743918	1e-05	0.154349970417687	0.0925774039114735	0.0272382300737095	0.0163371889255542	1
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000324057783466929	1e-05	0.155889194896435	0.0863151143768879	0.0330975126717157	0.0162181357280653	2
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000341481006663356	1e-05	0.157108589769305	0.0806497760619955	0.0386165673171905	0.0161543467280787	3
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000359871409709024	1e-05	0.158050067540291	0.0755234461171931	0.0438164978832309	0.0161380156960519	4
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000379282600317415	1e-05	0.158750755179816	0.0708838711043363	0.0487169771325510	0.0161622368977955	5
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000399771164938963	1e-05	0.159243508245934	0.0666839243322732	0.0533363541121399	0.0162209087420473	6
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000421396833856707	1e-05	0.159557371464682	0.0628810990831650	0.0576917526864201	0.0163086473946945	7
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000444222655459569	1e-05	0.159717991251062	0.0594370521629980	0.0617991619963150	0.0164207093455551	8
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000468315180201381	1e-05	0.159747985096372	0.0563171927650070	0.0656735195580810	0.0165529220159521	9
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000493744654782104	1e-05	0.159667272247872	0.0534903121345894	0.0693287876492961	0.0167016215873609	10
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000520585227117510	1e-05	0.159493369657403	0.0509282499742454	0.0727780235693172	0.0168635973142044	11
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000548915162695166	1e-05	0.159241656771617	0.0486055939321069	0.0760334443072015	0.0170360416583397	12
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000578817072947807	1e-05	0.158925612373224	0.0464994088822083	0.0791064861009719	0.0172165056497688	13
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000610378156310280	1e-05	0.158557026356136	0.0445889930328524	0.0820078593276816	0.0174028589383461	14
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000643690452663259	1e-05	0.158146189023826	0.0428556581948561	0.0847475991235410	0.0175932540554457	15
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000678851111906066	1e-05	0.157702060236344	0.0412825318074118	0.0873351120970032	0.0177860944532805	16
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000715962677442166	1e-05	0.157232420494234	0.0398543785587042	0.0897792194647830	0.0179800059333901	17
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000755133385404362	1e-05	0.156744005834385	0.0385574396539353	0.0920881969109809	0.0181738111152293	18
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000796477480492829	1e-05	0.156242628221256	0.0373792879774197	0.0942698114424921	0.0183665066312256	19
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000840115549347431	1e-05	0.155733282944666	0.0363086975700664	0.0963313554894274	0.0185572427665474	20
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000886174872427101	1e-05	0.155220244380635	0.0353355260007837	0.0982796784771167	0.0187453052904748	21
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000934789795422973	1e-05	0.154707151332640	0.0344506083518940	0.100121216076181	0.0189300992520348	22
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.000986102121289005	1e-05	0.154197083045749	0.0336456616660646	0.101862017318947	0.0191111345357227	23
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.00104026152403401	1e-05	0.153692626873792	0.0329131988169789	0.103507769753964	0.0192880129939583	24
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.00109742598548255	1e-05	0.153195938478894	0.0322464508692482	0.105063822795382	0.0194604169916475	25
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.00115776225627911	1e-05	0.152708795352080	0.0316392970860426	0.106535209410375	0.0196280992150470	26
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.00122144634248075	1e-05	0.152232644362291	0.0310862018266300	0.107926666275394	0.0197908736122581	27
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.00128866401915815	1e-05	0.151768643968038	0.0305821576513745	0.109242652520869	0.0199486073462701	28
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.00135961137250369	1e-05	0.151317701660298	0.0301226340196012	0.110487367173733	0.0201012136536932	29
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	-0.00143449537202856	1e-05	0.150880507146301	0.0297035310268235	0.111664765397908	0.0202486455133031	30
0.15	0.85	0.1	0.1	5.0	20.0	5.0	20.0	0.1	0.82	F	ALPHA	FECUNDITY	0.000314620764488152	1e-05	0.0786831546393214	0.0367092139186147	0.00592072653404873	0.00276228397156049	1
0.15	0.85	0.1	0.1	5.0	20.0	5.0	20.0	0.1	0.82	F	ALPHA	FECUNDITY	0.000326453182485998	1e-05	0.0793814867520889	0.0336829130665335	0.00888303137372756	0.00275351431105262	2
0.15	0.85	0.1	0.1	5.0	20.0	5.0	20.0	0.1	0.82	F	ALPHA	FECUNDITY	0.000338090349520515	1e-05	0.0799763698644447	0.0309567127887935	0.0116385957089938	0.00275235553186512	3
0.15	0.85	0.1	0.1	5.0	20.0	5.0	20.0	0.1	0.82	F	ALPHA	FECUNDITY	0.000349491240832660	1e-05	0.0804806547546476	0.0285007915895369	0.0142019415064577	0.00275758361569818	4
0.15	0.85	0.1	0.1	5.0	20.0	5.0	20.0	0.1	0.82	F	ALPHA	FECUNDITY	0.000360618585233656	1e-05	0.0809057203232425	0.0262882960662293	0.0165865614676151	0.00276812877070875	5
0.15	0.85	0.1	0.1	5.0	20.0	5.0	20.0	0.1	0.82	F	ALPHA	FECUNDITY	0.000371439246669981	1e-05	0.0812616347057699	0.0242950451481469	0.0188049928804799	0.00278305782104705	6
0.15	0.85	0.1	0.1	5.0	20.0	5.0	20.0	0.1	0.82	F	ALPHA	FECUNDITY	0.000381924485355049	1e-05	0.0815572992361734	0.0224992638329061	0.0208688860848367	0.00280155850784329	7
0.15	0.85	0.1	0.1	5.0	20.0	5.0	20.0	0.1	0.82	F	ALPHA	FECUNDITY	0.000392050099882662	1e-05	0.0818005770532175	0.0208813434770526	0.0227890679523432	0.00282292550015989	8
