df	dm	muf	mum	nfa	nfb	nma	nmb	u	m	sexes	patch_type	fec_or_mor	critical_b	c	r_ff	r_mf	r_fm	r_mm	age
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.00102598279397590	1e-05	0.0219085261878070	0.117620232135796	0.0284965055539941	0.124487728211452	25
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.00109084250758342	1e-05	0.0220724891537883	0.119202163902534	0.0277030584130500	0.123690774738887	26
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.00115978815761975	1e-05	0.0222307684813328	0.120686607555513	0.0269790841215582	0.122917576047273	27
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.00123307675448221	1e-05	0.0223832988805539	0.122079721201637	0.0263182733144666	0.122169371537910	28
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.00131098146874490	1e-05	0.0225300590711719	0.123387259527289	0.0257149063408450	0.121447043078461	29
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.00139379264716930	1e-05	0.0226710651645745	0.124614601577506	0.0251637969562628	0.120751165851128	30
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	8.74340584415334e-5	1e-05	0.0185262569074100	0.0231421572389088	0.104982122475323	0.131138891020483	1
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	8.91555878638138e-5	1e-05	0.0184271130251327	0.0307643384296458	0.0971464794901766	0.133112894405287	2
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	9.09286408872585e-5	1e-05	0.0183841650821126	0.0378865636238089	0.0900453455778093	0.134611517839110	3
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	9.27450344584246e-5	1e-05	0.0183890559306804	0.0445433156165096	0.0836084397796303	0.135700262359611	4
